Sample,Site,Site_2,Treatment,1,2,3
AN4,Angelo,Conifer Forest,4.5,5.7,4.76,5.11
AN5,Angelo,Conifer Forest,5.5,5.7,5.61,5.91
AN6,Angelo,Conifer Forest,6.5,5.7,5.89,6.19
AN7,Angelo,Conifer Forest,7.5,5.7,6.35,6.53
BB4,Bodega,Wetland,4.5,7.4,6.6,7.28
BB5,Bodega,Wetland,5.5,7.4,7.06,7.8
BB6,Bodega,Wetland,6.5,7.4,7.2,7.84
BB7,Bodega,Wetland,7.5,7.4,7.46,7.89
ML4,McLaughlin,Grassland,4.5,6.5,4.42,4.71
ML5,McLaughlin,Grassland,5.5,6.5,5.4,5.76
ML6,McLaughlin,Grassland,6.5,6.5,5.89,6.28
ML7,McLaughlin,Grassland,7.5,6.5,6.58,6.9