Sample,Site,Type,pH,Rep,Site_Rep,Yield 
AN_TR1_4,AN,TR1,4,TR,AN_TR,0.506
AN_TR1_5,AN,TR1,5,TR,AN_TR,1.06
AN_TR1_6,AN,TR1,6,TR,AN_TR,1.13
AN_TR1_8,AN,TR1,8,TR,AN_TR,2.25
AN_TR2_4,AN,TR2,4,TR,AN_TR,0.772
AN_TR2_5,AN,TR2,5,TR,AN_TR,0.837
AN_TR2_6,AN,TR2,6,TR,AN_TR,1.35
AN_TR2_8,AN,TR2,8,TR,AN_TR,1.3
AN_TR3_4,AN,TR3,4,TR,AN_TR,0.972
AN_TR3_5,AN,TR3,5,TR,AN_TR,1.13
AN_TR3_6,AN,TR3,6,TR,AN_TR,1.96
AN_TR3_8,AN,TR3,8,TR,AN_TR,1.86
BB_TR1_4,BB,TR1,4,TR,BB_TR,2.58
BB_TR1_5,BB,TR1,5,TR,BB_TR,3.32
BB_TR1_6,BB,TR1,6,TR,BB_TR,4.33
BB_TR1_8,BB,TR1,8,TR,BB_TR,2.32
BB_TR2_4,BB,TR2,4,TR,BB_TR,1.15
BB_TR2_5,BB,TR2,5,TR,BB_TR,3.63
BB_TR2_6,BB,TR2,6,TR,BB_TR,3.04
BB_TR2_8,BB,TR2,8,TR,BB_TR,2.4
BB_TR3_4,BB,TR3,4,TR,BB_TR,2.51
BB_TR3_5,BB,TR3,5,TR,BB_TR,2.35
BB_TR3_6,BB,TR3,6,TR,BB_TR,2.81
BB_TR3_8,BB,TR3,8,TR,BB_TR,2.94
ML_TR1_4,ML,TR1,4,TR,ML_TR,0.134
ML_TR1_5,ML,TR1,5,TR,ML_TR,0.24
ML_TR1_6,ML,TR1,6,TR,ML_TR,0.297
ML_TR1_8,ML,TR1,8,TR,ML_TR,0.234
ML_TR2_4,ML,TR2,4,TR,ML_TR,0.108
ML_TR2_5,ML,TR2,5,TR,ML_TR,0.206
ML_TR2_6,ML,TR2,6,TR,ML_TR,0.239
ML_TR2_8,ML,TR2,8,TR,ML_TR,0.18
ML_TR3_4,ML,TR3,4,TR,ML_TR,0.16
ML_TR3_5,ML,TR3,5,TR,ML_TR,0.147
ML_TR3_6,ML,TR3,6,TR,ML_TR,0.199
ML_TR3_8,ML,TR3,8,TR,ML_TR,0.203
AN_BR1_4,AN,BR1,4,BR,AN_BR,0.822
AN_BR1_5,AN,BR1,5,BR,AN_BR,0.584
AN_BR1_6,AN,BR1,6,BR,AN_BR,0.38
AN_BR1_8,AN,BR1,8,BR,AN_BR,0.726
AN_BR2_4,AN,BR2,4,BR,AN_BR,0.525
AN_BR2_5,AN,BR2,5,BR,AN_BR,0.619
AN_BR2_6,AN,BR2,6,BR,AN_BR,0.441
AN_BR2_8,AN,BR2,8,BR,AN_BR,0.849
AN_BR3_4,AN,BR3,4,BR,AN_BR,0.894
AN_BR3_5,AN,BR3,5,BR,AN_BR,0.5
AN_BR3_6,AN,BR3,6,BR,AN_BR,0.475
AN_BR3_8,AN,BR3,8,BR,AN_BR,0.648
BB_BR1_4,BB,BR1,4,BR,BB_BR,2.62
BB_BR1_5,BB,BR1,5,BR,BB_BR,2.99
BB_BR1_6,BB,BR1,6,BR,BB_BR,5.02
BB_BR1_8,BB,BR1,8,BR,BB_BR,3.67
BB_BR2_4,BB,BR2,4,BR,BB_BR,4.84
BB_BR2_5,BB,BR2,5,BR,BB_BR,12
BB_BR2_6,BB,BR2,6,BR,BB_BR,3.21
BB_BR2_8,BB,BR2,8,BR,BB_BR,5.48
BB_BR3_4,BB,BR3,4,BR,BB_BR,4.62
BB_BR3_5,BB,BR3,5,BR,BB_BR,3.29
BB_BR3_6,BB,BR3,6,BR,BB_BR,4.71
BB_BR3_8,BB,BR3,8,BR,BB_BR,8.58
ML_BR1_4,ML,BR1,4,BR,ML_BR,0.353
ML_BR1_5,ML,BR1,5,BR,ML_BR,0.167
ML_BR1_6,ML,BR1,6,BR,ML_BR,0.469
ML_BR1_8,ML,BR1,8,BR,ML_BR,0.4
ML_BR2_4,ML,BR2,4,BR,ML_BR,0.151
ML_BR2_5,ML,BR2,5,BR,ML_BR,0.168
ML_BR2_6,ML,BR2,6,BR,ML_BR,0.245
ML_BR2_8,ML,BR2,8,BR,ML_BR,0.121
ML_BR3_4,ML,BR3,4,BR,ML_BR,0.143
ML_BR3_5,ML,BR3,5,BR,ML_BR,0.131
ML_BR3_6,ML,BR3,6,BR,ML_BR,0.296
ML_BR3_8,ML,BR3,8,BR,ML_BR,0.245